,CCAA,Nombre,CodProv,NombreProv,NombreCCAA,CODMUN,POB2020,POB2019,POB2018,POB2017,POB2016,POB2015,POB2014,POB2013,POB2012,HOM2020,HOM2019,HOM2018,HOM2017,HOM2016,HOM2015,HOM2014,HOM2013,HOM2012,HOM2011,HOM2010,MUJ2020,MUJ2019,MUJ2018,MUJ2017,MUJ2016,MUJ2015,MUJ2014,MUJ2013,MUJ2012,MUJ2011,MUJ2010,NAT2012,NAT2013,NAT2014,NAT2015,NAT2016,NAT2017,NAT2018,NAT2019,NAT2020,MOR2012,MOR2013,MOR2014,MOR2015,MOR2016,MOR2017,MOR2018,MOR2019,MOR2020,TBNAT2012,TBNAT2013,TBNAT2014,TBNAT2015,TBNAT2016,TBNAT2017,TBNAT2018,TBNAT2019,TBNAT2020,TBMOR2012,TBMOR2013,TBMOR2014,TBMOR2015,TBMOR2016,TBMOR2017,TBMOR2018,TBMOR2019,TBMOR2020,TCVEG2012,TCVEG2013,TCVEG2014,TCVEG2015,TCVEG2016,TCVEG2017,TCVEG2018,TCVEG2019,TCVEG2020,SVEG2012,SVEG2013,SVEG2014,SVEG2015,SVEG2016,SVEG2017,SVEG2018,SVEG2019,SVEG2020,ALTITUD_M,DISTNUC10KM_M,DISTAUTOPAUTOV_M,DISTCARRNAC_M,DISTESTACFERROC_M,SALDOTT2012,SALDOTT2013,SALDOTT2014,SALDOTT2015,SALDOTT2016,SALDOTT2017,SALDOTT2018,SALDOTT2019,SALDOTT2020
0,3,Gijón,33,Asturias,Principado de Asturias,33024,271717,271780,271843,272365,273422,274290,275735,275274,277733,127961,128128,128208,128355,128955,129372,130204,129984,131373,131283,131217,143756,143652,143635,144010,144467,144918,145531,145290,146360,146276,145981,1985,1743,1808,1642,1673,1571,1516,1315,1234,3218,3143,3138,3363,3296,3321,3310,3277,3962,33083.333333333336,31125.0,34113.20754716981,30407.40740740741,32803.921568627455,30803.92156862745,28603.77358490566,26300.0,37145.833333333336,53633.333333333336,56125.0,59207.54716981132,62277.77777777778,61037.03703703704,65117.64705882354,62452.83018867925,65540.0,82541.66666666667,-20550.0,-25000.0,-25094.33962264151,-31870.37037037037,-30055.55555555556,-34313.72549019608,-33849.056603773584,-39240.0,-56833.333333333336,-1233,-1400,-1330,-1721,-1623,-1750,-1794,-1962,-2728,122.968212317727,6484.83199106963,1981.54626488211,3860.81433928425,3523.3603730023,971,445,-478,987,898,710,1448,2020,967
1,7,León,24,León,Castilla y León,24089,124028,124303,124772,125317,126192,127817,129551,130601,131680,56191,56307,56536,56822,57244,58100,59132,59712,60354,60944,61685,67837,67996,68236,68495,68948,69717,70419,70889,71326,71800,72327,977,987,978,907,911,818,818,784,683,1439,1415,1479,1543,1517,1464,1568,1546,1867,14367.64705882353,15919.354838709678,16300.0,12774.647887323945,14234.375,12781.25,12984.126984126984,12250.0,16619.047619047622,21161.764705882353,22822.58064516129,24650.0,21732.394366197183,21985.507246376812,22875.0,24888.88888888889,24156.25,29634.920634920636,-6794.117647058823,-6903.225806451613,-8350.0,-8957.74647887324,-8782.608695652174,-10093.75,-11904.761904761905,-11906.25,-18793.650793650795,-462,-428,-501,-636,-606,-646,-750,-762,-1184,839.667948942123,2487.85137917575,861.411528054724,1058.8484751439,2097.31012048436,47,-44,-603,-1270,-26,226,304,653,-465
2,7,Salamanca,37,Salamanca,Castilla y León,37274,144825,144228,143978,144436,144949,146438,148042,149528,152048,65661,65359,65278,65702,66017,66858,67785,68687,70035,70740,71314,79164,78869,78700,78734,78932,79580,80257,80841,82013,82732,83148,1164,1089,1140,1145,1102,1014,1039,979,856,1582,1527,1588,1703,1601,1671,1699,1714,2360,3095.744680851064,2873.35092348285,3166.6666666666665,3280.80229226361,3465.4088050314463,3188.6792452830186,3429.0429042904293,3411.149825783972,4886.029411764705,4207.446808510638,4029.0237467018464,4411.111111111111,4879.656160458452,4793.413173652695,5254.7169811320755,5607.260726072607,5972.12543554007,8676.470588235294,-1111.7021276595744,-1155.6728232189973,-1244.4444444444446,-1598.8538681948423,-1494.0119760479042,-2066.0377358490564,-2178.2178217821784,-2560.9756097560976,-5529.411764705882,-418,-438,-448,-558,-499,-657,-660,-735,-1504,811.870071217648,2774.20848307445,1588.088790329,1454.51275831232,2837.9253276619,-726,-872,-868,-639,132,568,1101,1086,-642
3,6,Suances,39,Cantabria,Cantabria,39085,8827,8782,8716,8645,8579,8612,8580,8552,8451,4331,4314,4294,4258,4247,4286,4259,4245,4217,4241,4162,4496,4468,4422,4387,4332,4326,4321,4307,4234,4248,4203,86,67,77,74,91,64,63,70,44,59,54,62,74,79,76,85,63,66,37.11696158826068,28.96670990056204,33.49282296650718,32.04850584668688,41.02795311091073,28.854824165915236,28.75399361022364,32.080659945004584,21.86046511627907,25.46396201985326,23.346303501945524,26.968247063940844,32.04850584668688,34.771126760563384,34.265103697024344,38.795070743952536,28.872593950504125,30.697674418604652,11.652999568407424,5.620406398616515,6.524575902566332,0.0,5.28169014084507,-5.410279531109108,-10.04107713372889,3.2080659945004584,-10.232558139534882,27,13,15,0,12,-12,-22,7,-22,57.6260072242289,7050.01019536406,3933.19209546054,3823.07667769177,3587.78516765911,87,17,24,10,72,86,96,42,208
4,6,Laredo,39,Cantabria,Cantabria,39035,11023,11025,11148,11347,11446,11643,11800,11934,12094,5212,5217,5301,5394,5471,5553,5623,5714,5826,5889,5981,5811,5808,5847,5953,5975,6090,6177,6220,6268,6317,6397,85,68,72,76,69,72,55,55,59,130,119,158,168,165,138,175,158,160,185.18518518518516,147.5054229934924,163.63636363636363,176.33410672853827,165.07177033492823,172.2488038277512,136.47642679900744,134.14634146341464,225.0,283.2244008714597,258.13449023861176,359.09090909090907,389.79118329466354,383.72093023255815,330.14354066985646,434.24317617866006,385.3658536585366,400.0,-98.0392156862745,-110.62906724511932,-195.45454545454547,-213.4570765661253,-223.25581395348837,-157.89473684210526,-297.7667493796526,-251.21951219512195,-252.5,-45,-51,-86,-92,-96,-66,-120,-103,-101,57.9919857524488,1839.21080292237,1836.6074003167,1336.59403816845,4041.16181811284,-87,-54,-54,-95,9,-132,-26,116,89
5,6,Santander,39,Cantabria,Cantabria,39075,173375,172539,172044,171951,172656,173957,175736,177123,178465,79936,79555,79371,79391,79618,80318,81278,81942,82544,83415,84335,93439,92984,92673,92560,93038,93639,94458,95181,95921,96506,97254,1377,1323,1271,1210,1181,1161,1084,1044,1022,1951,1801,1919,1963,1955,1942,1916,1980,2000,6120.0,6096.774193548387,5884.259259259259,5550.458715596331,6056.410256410256,5953.846153846154,5587.628865979381,5582.8877005347595,8232.954545454544,8671.111111111111,8299.539170506912,8884.25925925926,9004.587155963303,9354.066985645932,9958.97435897436,9876.288659793814,10588.235294117647,11363.636363636364,-2551.1111111111113,-2202.7649769585255,-3000.0,-3454.1284403669724,-3703.349282296651,-4005.128205128205,-4288.659793814433,-5005.347593582887,-5556.818181818182,-574,-478,-648,-753,-774,-781,-832,-936,-978,25.948069241012,1671.14537611655,1750.79444867548,2744.93235642887,1676.02997786377,-480,-612,-533,-58,442,1091,1222,1142,251
6,16,Bilbao,48,Bizkaia,País Vasco,48020,350184,346843,345821,345110,345122,345141,346574,349356,351629,165493,163563,162931,162571,162732,162564,163377,164941,166246,166887,167019,184691,183280,182890,182539,182390,182577,183197,184415,185383,185813,186168,2807,2707,2773,2589,2641,2482,2384,2433,2233,3697,3507,3649,3944,3928,3906,3941,3953,4519,12587.443946188341,12768.867924528302,13331.73076923077,12328.57142857143,11583.333333333334,10885.964912280702,10935.779816513761,10624.454148471616,12053.097345132743,16578.47533632287,16542.45283018868,17543.26923076923,18780.95238095238,18185.185185185186,17131.57894736842,18077.981651376147,17262.008733624454,19995.575221238938,-3991.031390134529,-3773.5849056603774,-4211.538461538462,-6452.380952380952,-5958.333333333333,-6245.6140350877195,-7142.201834862385,-6637.554585152839,-10115.04424778761,-890,-800,-876,-1355,-1287,-1424,-1557,-1520,-2286,144.961487603306,2593.38100628561,1420.03957823162,4503.75660797119,1473.39269528113,-445,-804,837,1423,1929,3108,3260,5095,-525
