,CODMUN,AREAMUN,AFECBLAN,AFECGRIS,KM2BLAN,KM2GRIS,PRMUNZB,PRMUNZG,POB21_ZB,CUEN_ZB,PRPZB21,Shape_Length,Shape_Area,POB21_ZG,CUEN_ZG,CBMAS30,CBMAS100,COB3G,COB4G
27,33024,182.1475890857123,SI,NO,3.507826754804033,0,1.925815637973321,0.0,4799,47,1.76748982560816,78932.25559409226,182147589.0857123,0,0,0.66,0.0,1.0,1.0
45,33042,5.709172688469446,SI,NO,0.3314738366304304,0,5.805987219477402,0.0,0,0,0.0,17626.64841092242,5709172.688469446,0,0,0.0,0.0,1.0,1.0
925,24089,39.00413655185288,SI,NO,0.001085711856464588,0,0.002783581313282556,0.0,0,0,0.0,34958.05621581012,39004136.55185288,0,0,1.0,1.0,1.0,1.0
1520,37274,39.47083792399714,NO,SI,0.0,0,0.0,0.01743650860952474,0,0,0.0,42267.7932721234,39470837.92399714,0,0,1.0,1.0,1.0,1.0
2377,39085,24.58248205457814,SI,NO,0.0001026194492547171,0,0.0004174495033775716,0.0,0,0,0.0,24863.96655381277,24582482.05457814,0,0,0.99,0.62,1.0,1.0
2419,39035,15.26980332782716,SI,NO,0.03745358505938474,0,0.2452787652551531,0.0,0,0,0.0,24269.61170173822,15269803.32782716,0,0,0.72,0.0,1.0,1.0
2455,39075,36.03780526179808,SI,NO,0.03764805847817056,0,0.1044682333029848,0.0,0,0,0.0,38487.99249336137,36037805.26179808,0,0,1.0,1.0,1.0,1.0
2652,48020,41.31482918533128,SI,NO,0.004096729923525033,0,0.00991588251556796,0.0,0,0,0.0,33805.19741735882,41314829.18533128,0,0,1.0,1.0,1.0,1.0
